"po_number","cust_id","sku"
"C126076","Canada","WL574EVB"
"C126077","Canada","ML574EVB"
"C126077","Canada","ML574EVB"
"C126077","Canada","ML574EVB"
"U072721","United States","WL515WHT"
"U072721","United States","WL515WHT"
"U072722","United States","ML515NVY"
"U072722","United States","ML515NVY"
"U072740","United States","ML515WHT"
"U072740","United States","ML515WHT"
"U072744","United States","ML515WHT"
"U075938","United States","ML574EVG"
"U075938","United States","ML574EVG"
"C126374","Canada","ML574EVG"
"C126374","Canada","ML574EVG"
"U075938","United States","ML574EVG"
"U075948","United States","ML574EVG"
"C126374","Canada","ML574EVG"
"C126713","Canada","M515873"
"C126713","Canada","M515873"
"U075948","United States","ML574EVG"
"U075948","United States","ML574EVG"
"U075957","United States","ML574EVG"
"U075957","United States","ML574EVG"
"U075957","United States","ML574EVG"
"C126713","Canada","M515873"
"U077090","United States","NW515GRY"
"C126714","Canada","U57429T"
"U077090","United States","NW515GRY"
"U077090","United States","NW515GRY"
"C126717","Canada","U5745LX"
"U077172","United States","NW515GRY"
"U077172","United States","NW515GRY"
"U077181","United States","W5151SM"
"U077185","United States","U57429T"
"U077247","United States","PC515GRY"
"U077247","United States","PC515GRY"
"U077250","United States","PC515GRY"
"U077250","United States","PC515GRY"
"U077256","United States","PC515NVY"
"U077256","United States","PC515NVY"
"U077271","United States","U5745LX"
"U077292","United States","U5745LX"
"U077954","United States","WL515NVY"
"U077954","United States","WL515NVY"
"U078010","United States","M515873"
"U078010","United States","M515873"
"U078059","United States","ML515NVY"
"U078059","United States","ML515NVY"
"U078061","United States","WL515NVY"
"U078061","United States","WL515NVY"
"C126727","Canada","M5152YB"
"C126727","Canada","M5152YB"
"U078121","United States","W5155RA"
"U078129","United States","W51547Y"
"U078195","United States","PC515BLK"
"U078195","United States","PC515BLK"
"U078646","United States","GC515GRY"
"U078646","United States","GC515GRY"
"U078647","United States","NW515GRY"
"U081204","United States","WL515GRY"
"U081204","United States","WL515GRY"
"U081205","United States","ML515GRY"
